rollNo,courseId,sem,year,grade
19075002,36,even,2022,A-
19075002,38,even,2021,B-
19075002,15,odd,2022,C-
19075002,34,odd,2019,A
19075002,41,even,2021,B
19075002,31,odd,2022,C-
19075002,38,odd,2021,B-
19075002,41,even,2021,A-
19085001,31,odd,2019,B-
19085001,35,odd,2020,A
19085001,36,even,2019,A
19085001,11,even,2022,A
19095001,27,odd,2021,A-
19095001,10,odd,2019,B
19095001,24,even,2022,C-
19095001,17,odd,2019,B
19095001,49,even,2020,B
19095001,19,even,2019,A-
19095001,51,odd,2019,A
19095001,50,odd,2021,B
19095001,28,odd,2021,B
19055001,19,odd,2020,C
19055001,9,even,2019,B
19085002,14,odd,2021,A-
19085002,37,odd,2019,C-
19085002,11,even,2022,A-
19085003,40,odd,2019,B-
19085003,3,odd,2022,B
19085003,40,odd,2020,C-
19085003,26,odd,2022,B
19085003,32,odd,2022,C-
19085003,16,odd,2019,B
19085003,12,even,2020,A
19085003,22,odd,2021,C
19085003,4,even,2022,A-
19065005,16,even,2020,B-
19065005,3,even,2019,B
19065005,14,odd,2020,A
19065005,13,odd,2019,B
19065005,13,odd,2022,A-
19065005,25,odd,2022,C
19065005,43,odd,2019,A-
19065005,44,odd,2021,C-
19065005,50,even,2020,C
19095002,5,odd,2022,A
19095002,11,odd,2020,C-
19095002,1,even,2020,C-
19095002,44,odd,2019,A-
19095002,7,even,2020,B
19095002,2,odd,2020,B
19095002,11,odd,2020,C
19035003,16,odd,2021,A
19035003,19,even,2020,C
19035003,9,odd,2019,C-
19035003,32,even,2021,A-
19025004,20,odd,2019,C-
19025004,43,odd,2020,C
19025004,17,odd,2022,C-
19025004,38,even,2022,B-
19025004,17,odd,2022,B
19025004,14,odd,2022,A-
19025004,27,even,2019,C-
19025004,1,even,2019,B
19025005,27,even,2020,B
19025005,4,odd,2020,C
19025005,21,odd,2020,A
19025005,47,odd,2019,A-
19025005,27,odd,2019,B-
19075003,36,even,2019,A-
19075003,44,even,2021,C
19075003,42,odd,2021,C-
19075003,32,even,2020,B-
19075003,36,odd,2022,A-
19075003,41,odd,2022,A-
19075003,50,odd,2022,B
19075003,45,even,2019,B
19045003,30,odd,2021,A-
19045003,40,odd,2020,C-
19045003,35,odd,2020,C-
19045003,9,even,2022,C-
