empId,courseId,sem,year
74,26,odd,2019
74,26,even,2019
74,26,odd,2020
74,26,even,2020
74,26,odd,2021
74,26,even,2021
74,26,odd,2022
74,26,even,2022
102,27,odd,2019
102,27,even,2019
102,27,odd,2020
102,27,even,2020
102,27,odd,2021
102,27,even,2021
102,27,odd,2022
102,27,even,2022
102,28,odd,2019
102,28,even,2019
102,28,odd,2020
102,28,even,2020
102,28,odd,2021
102,28,even,2021
102,28,odd,2022
102,28,even,2022
56,29,odd,2019
56,29,even,2019
56,29,odd,2020
56,29,even,2020
56,29,odd,2021
56,29,even,2021
56,29,odd,2022
56,29,even,2022
147,30,odd,2019
147,30,even,2019
147,30,odd,2020
147,30,even,2020
147,30,odd,2021
147,30,even,2021
147,30,odd,2022
147,30,even,2022
147,31,odd,2019
147,31,even,2019
147,31,odd,2020
147,31,even,2020
147,31,odd,2021
147,31,even,2021
147,31,odd,2022
147,31,even,2022
44,32,odd,2019
44,32,even,2019
44,32,odd,2020
44,32,even,2020
44,32,odd,2021
44,32,even,2021
44,32,odd,2022
44,32,even,2022
140,33,odd,2019
140,33,even,2019
140,33,odd,2020
140,33,even,2020
140,33,odd,2021
140,33,even,2021
140,33,odd,2022
140,33,even,2022
1,34,odd,2019
1,34,even,2019
1,34,odd,2020
1,34,even,2020
1,34,odd,2021
1,34,even,2021
1,34,odd,2022
1,34,even,2022
120,35,odd,2019
120,35,even,2019
120,35,odd,2020
120,35,even,2020
120,35,odd,2021
120,35,even,2021
120,35,odd,2022
120,35,even,2022
120,36,odd,2019
120,36,even,2019
120,36,odd,2020
120,36,even,2020
120,36,odd,2021
120,36,even,2021
120,36,odd,2022
120,36,even,2022
2,37,odd,2019
2,37,even,2019
2,37,odd,2020
2,37,even,2020
2,37,odd,2021
2,37,even,2021
2,37,odd,2022
2,37,even,2022
94,38,odd,2019
94,38,even,2019
94,38,odd,2020
94,38,even,2020
94,38,odd,2021
94,38,even,2021
94,38,odd,2022
94,38,even,2022
18,39,odd,2019
18,39,even,2019
18,39,odd,2020
18,39,even,2020
18,39,odd,2021
18,39,even,2021
18,39,odd,2022
18,39,even,2022
53,40,odd,2019
53,40,even,2019
53,40,odd,2020
53,40,even,2020
53,40,odd,2021
53,40,even,2021
53,40,odd,2022
53,40,even,2022
13,41,odd,2019
13,41,even,2019
13,41,odd,2020
13,41,even,2020
13,41,odd,2021
13,41,even,2021
13,41,odd,2022
13,41,even,2022
35,16,odd,2019
35,16,even,2019
35,16,odd,2020
35,16,even,2020
35,16,odd,2021
35,16,even,2021
35,16,odd,2022
35,16,even,2022
90,17,odd,2019
90,17,even,2019
90,17,odd,2020
90,17,even,2020
90,17,odd,2021
90,17,even,2021
90,17,odd,2022
90,17,even,2022
36,18,odd,2019
36,18,even,2019
36,18,odd,2020
36,18,even,2020
36,18,odd,2021
36,18,even,2021
36,18,odd,2022
36,18,even,2022
16,19,odd,2019
16,19,even,2019
16,19,odd,2020
16,19,even,2020
16,19,odd,2021
16,19,even,2021
16,19,odd,2022
16,19,even,2022
55,20,odd,2019
55,20,even,2019
55,20,odd,2020
55,20,even,2020
55,20,odd,2021
55,20,even,2021
55,20,odd,2022
55,20,even,2022
16,21,odd,2019
16,21,even,2019
16,21,odd,2020
16,21,even,2020
16,21,odd,2021
16,21,even,2021
16,21,odd,2022
16,21,even,2022
112,22,odd,2019
112,22,even,2019
112,22,odd,2020
